country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
China,1941,514134316.0,0.0,113.979,111.449,0.0,2.034,0.496,335.411
China,1942,516914309.0,0.0,127.613,124.452,0.0,2.506,0.655,338.264
China,1943,519643036.0,0.0,108.995,107.402,0.0,0.953,0.64,337.077
China,1944,522386167.0,0.0,103.004,101.898,0.0,0.616,0.49,338.99
China,1945,525143778.0,0.0,55.892,55.335,0.0,0.539,0.018,333.315
China,1946,527915947.0,0.0,36.107,35.805,0.0,0.216,0.086,332.826
China,1947,530702750.0,0.0,41.836,41.501,0.0,0.161,0.174,336.307
China,1948,533504263.0,0.0,38.4,38.094,0.0,0.224,0.083,337.645
China,1949,537916245.0,0.0,62.081,61.444,0.0,0.363,0.275,347.064
China,1950,544044354.0,436905181184.0,78.835,77.615,0.015,0.619,0.587,353.47
China,1951,553758251.0,529605984256.0,102.115,100.133,0.007,0.938,1.036,367.681
China,1952,565131436.0,595648774144.0,127.999,125.444,0.015,1.337,1.203,381.131
China,1953,577557142.0,672668254208.0,133.783,130.237,0.022,1.909,1.615,390.176
China,1954,590113861.0,624480223232.0,160.877,155.592,0.029,3.341,1.915,402.633
China,1955,603547012.0,681084911616.0,190.521,183.196,0.033,5.419,1.873,415.241
China,1956,616558585.0,738921938944.0,215.824,205.023,0.048,8.094,2.66,426.836
China,1957,630356210.0,761702580224.0,255.785,243.81,0.132,8.988,2.855,441.634
China,1958,644219484.0,766244683776.0,524.617,508.175,0.213,12.359,3.871,495.982
China,1959,652708210.0,743927578624.0,720.152,695.438,0.557,19.049,5.107,536.831
China,1960,654802066.0,705092976640.0,798.8,748.376,1.993,22.992,6.514,552.71
China,1961,655773482.0,577128431616.0,570.63,522.475,2.818,22.336,2.585,521.948
China,1962,665073692.0,616502984704.0,459.618,411.925,2.323,21.764,2.497,507.972
China,1963,684552645.0,705534361600.0,456.779,406.129,1.957,23.27,3.355,522.051
China,1964,704798265.0,804504993792.0,460.637,401.574,2.03,27.729,5.032,545.81
China,1965,723415737.0,896126812160.0,500.286,432.993,2.11,34.999,6.801,565.685
China,1966,742402209.0,927339380736.0,549.459,469.765,2.568,44.547,8.387,590.979
China,1967,761026025.0,933378392064.0,460.226,383.599,2.799,42.499,6.085,589.513
China,1968,781011031.0,912372793344.0,495.507,412.72,2.686,48.651,5.253,604.91
China,1969,802140343.0,1006175649792.0,607.683,501.177,3.759,66.85,7.613,634.45
China,1970,823308968.0,1144004411392.0,807.953,665.866,5.503,94.645,10.718,682.385
China,1971,844069870.0,1216237928448.0,909.21,736.424,7.174,120.091,13.124,701.487
China,1972,863677811.0,1233564991488.0,968.646,770.722,9.281,138.328,14.717,720.75
China,1973,882576941.0,1334375219200.0,1008.293,783.741,11.468,158.819,15.456,729.206
China,1974,900307583.0,1367631724544.0,1028.1,776.101,14.44,182.573,15.34,736.292
China,1975,916116795.0,1460733607936.0,1183.215,906.638,16.972,204.191,19.102,775.065
China,1976,930372293.0,1413710479360.0,1226.421,910.39,19.368,238.985,19.253,783.919
China,1977,943546379.0,1493489287168.0,1340.831,998.609,23.237,257.484,22.906,810.268
China,1978,956161484.0,1667551723520.0,1492.778,1117.447,26.286,281.992,26.81,833.349
China,1979,969288069.0,1801380298752.0,1525.661,1147.547,27.777,278.427,30.32,841.191
China,1980,983163545.0,1893783568384.0,1494.496,1122.664,27.319,273.202,32.712,839.155
China,1981,997721068.0,1949955260416.0,1476.488,1125.005,24.388,256.374,33.903,839.423
China,1982,1013588169.0,2128598007808.0,1606.585,1248.856,22.9,257.81,38.87,855.678
China,1983,1029064952.0,2278862356480.0,1694.217,1321.843,23.439,263.771,44.126,878.501
China,1984,1043849645.0,2534000295936.0,1844.828,1454.198,24.226,271.451,50.066,907.525
China,1985,1059807821.0,2752673742848.0,1998.083,1584.511,24.82,284.594,59.301,925.873
China,1986,1077233612.0,2931539050496.0,2104.213,1657.391,26.352,303.068,67.362,945.812
China,1987,1096217446.0,3177306390528.0,2257.739,1770.269,26.601,321.523,75.429,969.548
China,1988,1115244161.0,3354463305728.0,2425.894,1892.698,27.311,343.13,84.961,994.889
China,1989,1133991005.0,3380560265216.0,2463.654,1920.239,28.821,354.441,84.886,1023.098
China,1990,1153582718.0,3385121832960.0,2484.855,1976.684,29.301,330.291,84.513,1041.451
China,1991,1170788527.0,3508947910656.0,2606.096,2049.92,30.778,356.027,101.305,1045.328
China,1992,1184574240.0,3755037425664.0,2730.788,2114.715,30.239,385.793,122.445,1039.68
China,1993,1197308569.0,4126169366528.0,2921.651,2228.745,35.728,428.549,142.774,1046.805
China,1994,1209003100.0,4438753280000.0,3103.739,2380.586,41.568,423.712,164.377,1064.153
China,1995,1220133927.0,4810000039936.0,3361.637,2569.754,42.436,468.23,184.637,1126.266
China,1996,1230944812.0,5127589593088.0,3508.818,2660.401,44.47,510.622,192.853,1127.177
China,1997,1241139619.0,5291339415552.0,3515.594,2609.556,44.159,557.961,202.874,1097.485
China,1998,1250847121.0,5338703069184.0,3364.587,2444.771,50.501,559.262,211.369,1089.98
China,1999,1260176650.0,5578502963200.0,3557.275,2580.992,54.572,596.751,228.322,1092.344
China,2000,1269581164.0,5952682590208.0,3649.227,2601.762,59.796,648.686,244.388,1108.096
China,2001,1278725057.0,6329737412608.0,3728.51,2637.651,67.157,659.3,270.828,1118.592
China,2002,1286866839.0,6814493573120.0,4103.046,3018.637,53.993,653.086,282.688,1127.3
China,2003,1294517315.0,7248623435776.0,4841.119,3601.712,60.745,727.099,353.679,1186.953
China,2004,1302100319.0,7830953263104.0,5217.351,3835.288,71.521,839.093,368.396,1268.221
China,2005,1310027138.0,8602939555840.0,5882.106,4424.353,84.957,850.173,411.649,1339.097
China,2006,1318054037.0,9489543593984.0,6494.331,4905.367,103.753,898.534,470.087,1396.412
