country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
France,1941,40401955.0,208850403328.0,119.927,118.245,0.0,0.0,1.683,92.484
France,1942,40507882.0,187228798976.0,122.496,121.081,0.004,0.176,1.236,93.806
France,1943,40655418.0,177801003008.0,125.246,123.517,0.077,0.205,1.446,95.019
France,1944,40803492.0,150192898048.0,79.986,78.959,0.114,0.18,0.734,80.96
France,1945,40952105.0,162809692160.0,107.166,105.333,0.147,0.909,0.778,89.768
France,1946,41101259.0,247582048256.0,165.245,156.79,0.187,7.222,1.047,106.137
France,1947,41250956.0,268325273600.0,183.624,167.954,0.495,13.271,1.904,109.446
France,1948,41401199.0,287852232704.0,196.501,172.619,0.612,20.61,2.66,110.695
France,1949,41598134.0,327028310016.0,229.051,195.775,0.832,29.261,3.184,117.363
France,1950,41883122.0,351453773824.0,202.279,166.851,0.447,31.419,3.562,108.628
France,1951,42333662.0,373113716736.0,228.729,186.97,0.557,37.186,4.016,114.362
France,1952,42780273.0,382998904832.0,226.986,181.83,0.564,40.319,4.274,112.969
France,1953,43227873.0,394064691200.0,214.548,166.628,0.524,42.796,4.601,109.017
France,1954,43676897.0,413153820672.0,226.352,172.138,0.605,48.793,4.815,110.849
France,1955,44136093.0,436918059008.0,238.982,179.389,0.725,53.619,5.248,113.099
France,1956,44588523.0,458984652800.0,268.499,201.711,0.89,60.243,5.655,119.179
France,1957,45036374.0,486693404672.0,277.497,207.481,1.147,62.636,6.233,120.893
France,1958,45493502.0,498861244416.0,266.154,190.839,1.367,67.319,6.629,117.224
France,1959,45963766.0,513138982912.0,261.89,180.331,2.843,71.796,6.92,115.292
France,1960,46428136.0,549318524928.0,296.602,198.424,6.239,84.932,7.007,116.024
France,1961,46893841.0,579768680448.0,316.22,205.201,8.949,94.467,7.603,116.788
France,1962,47352625.0,618376462336.0,333.477,208.842,10.445,105.846,8.344,119.713
France,1963,47817824.0,650490675200.0,338.582,200.501,9.73,119.389,8.962,121.292
France,1964,48319085.0,693811347456.0,369.54,204.279,10.778,143.837,10.645,119.234
France,1965,48772824.0,727557406720.0,364.23,184.804,10.45,157.921,11.055,117.701
France,1966,49184652.0,764514074624.0,381.139,181.279,11.676,176.667,11.517,116.002
France,1967,49574907.0,799864782848.0,405.496,177.177,13.199,203.069,12.051,117.513
France,1968,49947252.0,835171385344.0,419.073,169.804,15.642,221.078,12.549,117.874
France,1969,50355300.0,893107437568.0,444.28,167.719,17.898,245.049,13.614,118.018
France,1970,50813071.0,944232660992.0,461.338,153.821,19.88,273.299,14.337,118.905
France,1971,51293056.0,989968596992.0,494.427,142.694,23.927,307.901,14.192,115.496
France,1972,51743877.0,1034024779776.0,514.988,126.446,28.424,339.99,14.545,113.018
France,1973,52162212.0,1090179825664.0,539.772,121.059,32.599,365.987,14.812,111.782
France,1974,52504744.0,1122228371456.0,521.906,121.554,33.951,345.889,15.466,111.324
France,1975,52746322.0,1114332594176.0,483.272,110.386,39.175,314.936,14.033,111.378
France,1976,52959120.0,1162522918912.0,524.455,124.555,40.33,340.818,13.824,111.38
France,1977,53197133.0,1205940912128.0,508.119,123.799,42.841,323.027,13.443,110.466
France,1978,53429668.0,1239356145664.0,529.908,120.308,46.186,345.547,12.954,108.737
France,1979,53660897.0,1279104516096.0,533.254,126.289,49.003,340.975,13.209,108.55
France,1980,53941061.0,1297124032512.0,512.218,127.31,49.953,318.882,13.22,107.137
France,1981,54255004.0,1310463361024.0,460.491,112.028,50.946,282.906,12.71,106.413
France,1982,54582405.0,1343411585024.0,441.564,115.041,49.027,264.879,11.669,104.855
France,1983,54889407.0,1359074689024.0,424.455,101.822,53.568,258.226,10.839,104.743
France,1984,55176626.0,1379095674880.0,413.169,100.265,54.927,248.02,9.958,104.387
France,1985,55467154.0,1398409920512.0,406.314,97.292,56.868,241.93,10.224,101.94
France,1986,55752833.0,1431625531392.0,391.448,79.748,56.833,244.759,10.108,100.855
France,1987,56048365.0,1467808743424.0,388.852,74.706,54.531,249.572,10.042,97.46
France,1988,56361846.0,1532315566080.0,386.506,76.869,54.778,244.175,10.684,93.401
France,1989,56685081.0,1594471874560.0,400.329,80.876,55.736,252.494,11.223,92.899
France,1990,56990239.0,1636207689728.0,393.717,80.44,59.049,233.972,10.937,91.967
France,1991,57271563.0,1654070181888.0,417.859,85.989,66.698,245.485,10.386,91.649
France,1992,57554865.0,1681416912896.0,407.316,77.892,67.708,243.548,9.343,90.78
France,1993,57801260.0,1671995850752.0,387.699,63.036,67.874,239.495,8.592,89.625
France,1994,57999868.0,1712086450176.0,380.793,61.766,67.462,233.579,8.775,89.162
France,1995,58192206.0,1748659601408.0,385.81,62.935,68.639,236.348,8.635,89.163
France,1996,58380637.0,1773843120128.0,402.156,65.29,75.755,243.36,8.436,89.258
France,1997,58568662.0,1816394858496.0,394.845,61.266,75.041,240.95,8.111,88.324
France,1998,58778817.0,1882050265088.0,413.259,71.286,76.827,247.031,8.686,88.023
France,1999,59084208.0,1949849354240.0,412.021,66.37,80.664,247.611,8.386,87.827
France,2000,59483716.0,2031676030976.0,406.139,65.668,84.16,238.715,8.561,89.975
France,2001,59905130.0,2077786767360.0,410.445,56.01,88.274,248.684,8.655,89.813
France,2002,60327247.0,2107316502528.0,405.947,58.579,87.873,242.252,8.643,88.445
France,2003,60741121.0,2130940657664.0,411.965,59.184,91.564,244.12,8.556,87.194
France,2004,61175243.0,2196883505152.0,413.379,58.254,93.194,244.202,9.065,86.452
France,2005,61625030.0,2238790500352.0,415.795,62.071,94.908,241.28,9.108,85.606
France,2006,62049831.0,2297018187776.0,406.157,59.521,92.313,236.189,9.307,84.648
France,2007,62432438.0,2354672041984.0,396.01,61.413,89.18,226.863,9.478,84.603
France,2008,62780187.0,2362451689472.0,389.094,56.225,91.986,222.805,8.88,84.82
France,2009,63106461.0,2295353049088.0,370.876,45.205,90.679,218.919,7.679,83.14
France,2010,63417366.0,2342490472448.0,376.457,49.122,96.099,215.221,7.888,83.148
France,2011,63733777.0,2393401982976.0,354.375,42.131,87.628,208.439,8.065,80.798
