country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Iran,1941,15364059.0,0.0,20.822,0.238,0.0,20.559,0.025,14.318
Iran,1942,15524597.0,0.0,29.532,0.216,0.0,29.29,0.025,14.609
Iran,1943,15659633.0,0.0,30.455,0.183,0.0,30.254,0.018,14.898
Iran,1944,15795843.0,0.0,41.66,0.264,0.0,41.378,0.018,15.219
Iran,1945,15933238.0,0.0,52.897,0.399,0.0,52.487,0.011,15.687
Iran,1946,16071828.0,0.0,60.232,0.399,0.0,59.811,0.022,16.128
Iran,1947,16211624.0,0.0,63.468,0.498,0.0,62.948,0.022,16.605
Iran,1948,16352636.0,0.0,77.951,0.399,0.0,77.519,0.033,17.039
Iran,1949,16558920.0,0.0,8.13,0.451,0.0,7.65,0.029,17.521
Iran,1950,16510553.0,44850892800.0,9.601,0.531,0.0,9.037,0.033,18.02
Iran,1951,16921281.0,44840296448.0,6.914,0.451,0.0,6.43,0.033,18.715
Iran,1952,17344434.0,44843151360.0,4.092,0.399,0.0,3.668,0.025,19.445
Iran,1953,17778109.0,44886630400.0,3.829,0.411,0.0,3.385,0.033,19.984
Iran,1954,18226205.0,44884365312.0,1.044,0.665,0.0,0.347,0.033,20.596
Iran,1955,18700800.0,44862808064.0,15.813,0.649,0.583,2.876,0.065,21.156
Iran,1956,19204391.0,48871698432.0,22.808,0.506,0.85,8.588,0.109,31.588
Iran,1957,19726844.0,55700860928.0,21.8,0.465,1.403,11.111,0.156,37.731
Iran,1958,20266510.0,62178750464.0,25.229,0.513,1.44,13.201,0.204,42.552
Iran,1959,20846778.0,67527569408.0,25.569,0.63,1.759,11.684,0.287,41.718
Iran,1960,21470433.0,74059071488.0,37.359,0.612,1.839,21.835,0.392,61.522
Iran,1961,22125729.0,80338485248.0,36.509,0.524,1.902,19.326,0.367,58.58
Iran,1962,22807908.0,81892024320.0,37.428,0.542,2.037,18.708,0.367,59.212
Iran,1963,23519008.0,90921967616.0,41.305,0.605,2.206,20.271,0.367,62.354
Iran,1964,24262863.0,97500512256.0,47.519,0.725,2.308,23.571,0.367,70.297
Iran,1965,25036982.0,109475799040.0,53.718,0.755,2.378,24.627,0.389,74.222
Iran,1966,25829273.0,120466931712.0,64.103,0.755,2.682,26.309,0.691,79.905
Iran,1967,26628431.0,134024249344.0,67.881,0.769,2.84,27.608,0.691,84.265
Iran,1968,27437390.0,154230439936.0,82.33,0.788,3.037,36.501,0.959,105.906
Iran,1969,28273481.0,174223163392.0,83.039,1.301,9.021,28.693,1.159,103.93
Iran,1970,29145099.0,192659390464.0,91.787,1.26,20.559,32.72,1.272,121.956
