country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Japan,1941,74587386.0,369006706688.0,154.605,150.832,0.099,0.791,2.882,30.904
Japan,1942,75612006.0,370533728256.0,147.792,144.816,0.099,0.725,2.151,31.052
Japan,1943,76666406.0,366773534720.0,150.637,147.949,0.081,0.747,1.861,31.881
Japan,1944,77735509.0,371697713152.0,138.733,136.484,0.081,0.703,1.465,31.659
Japan,1945,78819521.0,280326701056.0,76.635,75.306,0.073,0.678,0.578,28.223
Japan,1946,79918650.0,213947006976.0,52.707,51.593,0.066,0.59,0.458,27.49
Japan,1947,81033105.0,211776700416.0,70.032,68.795,0.07,0.557,0.611,29.886
Japan,1948,82163102.0,229021270016.0,88.082,86.584,0.092,0.487,0.919,32.435
Japan,1949,83270008.0,234992009216.0,98.42,96.103,0.103,0.594,1.621,34.407
Japan,1950,86443279.0,256610910208.0,102.541,95.729,0.136,4.47,2.206,35.654
Japan,1951,87849930.0,288620281856.0,123.458,111.001,0.161,9.057,3.238,38.421
Japan,1952,89135134.0,321973420032.0,130.428,113.94,0.18,12.791,3.518,40.148
Japan,1953,90324185.0,345711968256.0,145.902,119.179,0.216,22.175,4.332,42.093
Japan,1954,91407672.0,365311000576.0,142.681,113.009,0.275,24.12,5.277,42.988
Japan,1955,92425476.0,396713132032.0,142.036,108.89,0.344,27.579,5.222,44.026
Japan,1956,93342005.0,426510417920.0,160.823,121.381,0.469,32.536,6.436,46.661
Japan,1957,94108980.0,457723478016.0,188.287,136.042,0.638,44.106,7.501,49.546
Japan,1958,94846958.0,484394336256.0,181.421,126.489,0.927,46.599,7.407,50.242
Japan,1959,95622973.0,528525000704.0,192.92,125.851,1.172,57.364,8.533,51.842
Japan,1960,96399754.0,597858254848.0,232.83,139.146,1.601,80.944,11.139,54.908
Japan,1961,97217594.0,669824974848.0,283.131,160.866,2.045,108.045,12.175,57.685
Japan,1962,98076406.0,729663012864.0,293.278,154.22,2.66,122.17,14.228,58.653
