country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Russia,1941,94252439.0,0.0,261.134,198.072,0.0,61.278,1.783,280.377
Russia,1942,95122832.0,0.0,141.967,83.581,0.0,58.386,0.0,262.305
Russia,1943,96001262.0,0.0,148.165,96.207,0.0,51.958,0.0,263.751
Russia,1944,96887805.0,0.0,214.867,144.129,0.0,70.738,0.0,271.182
Russia,1945,97782535.0,0.0,227.48,186.272,3.761,36.895,0.552,248.291
Russia,1946,98685527.0,0.0,255.646,208.002,4.304,42.301,1.039,251.807
Russia,1947,99596857.0,0.0,307.839,249.723,5.269,51.379,1.468,261.288
Russia,1948,100516604.0,0.0,327.57,262.613,5.819,57.122,2.017,262.781
Russia,1949,101444845.0,0.0,372.365,297.284,6.016,66.623,2.441,269.783
Russia,1950,103392365.0,337495949312.0,415.061,329.785,7.932,74.14,3.203,275.655
Russia,1951,104844658.0,357746835456.0,449.832,357.49,8.585,79.981,3.776,283.327
Russia,1952,106326385.0,388546134016.0,481.701,378.453,8.74,90.216,4.292,291.979
Russia,1953,107851683.0,413093789696.0,509.613,395.87,9.381,99.507,4.854,299.23
Russia,1954,109463247.0,448712376320.0,556.575,430.168,10.245,110.392,5.769,309.622
Russia,1955,111160997.0,479242190848.0,631.101,483.342,12.267,128.668,6.824,326.64
Russia,1956,112909102.0,520877113344.0,691.942,518.653,16.52,149.231,7.538,341.498
Russia,1957,114730333.0,555636948992.0,757.201,554.32,25.726,168.4,8.754,356.448
Russia,1958,116588765.0,594634014720.0,808.224,571.906,38.193,188.044,10.081,368.191
Russia,1959,118293890.0,628321091584.0,849.739,584.273,48.555,205.183,11.728,375.412
Russia,1960,119934143.0,664792989696.0,884.702,585.452,61.665,223.832,13.752,380.594
Russia,1961,121604309.0,712659173376.0,912.373,575.213,79.863,241.945,15.351,378.175
Russia,1962,123111720.0,765404315648.0,957.589,571.186,99.131,269.987,17.286,389.72
Russia,1963,124449752.0,795991080960.0,1026.974,592.184,121.251,295.157,18.382,401.018
Russia,1964,125630155.0,847772254208.0,1092.214,609.542,147.216,315.912,19.544,399.272
Russia,1965,126634209.0,894393909248.0,1158.639,630.075,170.229,336.566,21.768,400.347
Russia,1966,127533631.0,957776855040.0,1223.581,651.286,188.619,359.643,24.033,404.344
Russia,1967,128342646.0,1018164346880.0,1279.439,656.027,206.293,391.679,25.441,401.982
Russia,1968,129065047.0,1081402654720.0,1315.396,648.753,223.343,417.056,26.244,389.62
Russia,1969,129762192.0,1109530247168.0,1369.898,657.706,238.847,446.44,26.905,376.52
Russia,1970,130367189.0,1202686787584.0,1440.773,702.835,221.795,487.633,28.511,390.52
Russia,1971,130987109.0,1253060902912.0,1528.955,716.493,250.638,518.91,29.732,398.568
Russia,1972,131726417.0,1289356574720.0,1608.655,738.373,263.591,563.489,30.598,407.873
Russia,1973,132475153.0,1390779301888.0,1676.593,745.921,278.547,605.342,31.799,416.405
Russia,1974,133259154.0,1440623099904.0,1740.437,747.388,295.138,648.372,33.098,428.719
Russia,1975,134136099.0,1499251212288.0,1829.452,769.572,321.877,685.026,34.726,440.738
Russia,1976,135080691.0,1545586606080.0,1899.911,789.717,353.686,701.113,35.141,450.439
Russia,1977,136040973.0,1593194971136.0,1964.534,802.148,379.119,725.683,35.725,456.417
Russia,1978,136979086.0,1623481384960.0,2032.002,797.389,397.568,778.078,35.483,466.555
Russia,1979,137816542.0,1639588429824.0,2048.855,797.952,422.814,781.185,34.176,472.2
Russia,1980,138572628.0,1696830062592.0,2129.469,840.963,441.376,799.832,34.527,477.38
Russia,1981,139351496.0,1717132197888.0,2088.923,761.391,472.646,807.411,34.801,477.57
Russia,1982,140247744.0,1727461064704.0,2128.305,771.454,500.028,810.67,33.545,485.949
Russia,1983,141331277.0,1761922514944.0,2158.492,765.431,536.445,809.773,34.445,490.418
Russia,1984,142464237.0,1769234759680.0,2177.659,760.126,580.162,790.501,34.661,501.584
Russia,1985,143569388.0,1795626500096.0,2348.536,866.02,636.963,798.035,34.497,506.768
Russia,1986,144807816.0,1840205266944.0,2348.928,893.978,603.894,804.309,35.353,516.992
Russia,1987,146147382.0,1838644461568.0,2357.92,900.889,701.871,709.069,35.642,525.571
Russia,1988,147364493.0,1868131598336.0,2436.935,916.013,750.139,711.931,35.871,530.987
Russia,1989,148281863.0,1881091604480.0,2404.825,882.512,749.211,714.899,35.794,533.885
Russia,1990,148979538.0,1834865131520.0,2536.248,754.207,788.193,888.24,34.609,537.094
Russia,1991,149448434.0,1782589423616.0,2406.756,705.395,754.959,844.452,32.837,514.678
Russia,1992,148915993.0,1557839216640.0,1966.505,521.601,774.35,585.385,26.717,481.473
Russia,1993,148135419.0,1453307985920.0,1866.729,507.516,781.669,509.992,21.995,456.843
Russia,1994,148200736.0,1297672699904.0,1647.665,454.67,732.937,406.8,16.475,426.241
Russia,1995,148291405.0,1274033471488.0,1619.727,479.041,699.582,386.793,16.646,409.42
Russia,1996,148084580.0,1256336523264.0,1586.822,477.466,699.775,361.332,12.723,390.116
Russia,1997,147853772.0,1303661510656.0,1482.245,411.997,669.233,352.956,12.273,370.158
Russia,1998,147635542.0,1263722561536.0,1465.253,400.631,673.399,345.571,11.923,361.879
Russia,1999,147241973.0,1375023529984.0,1494.179,407.464,686.577,350.395,13.173,364.022
Russia,2000,146717784.0,1547057496064.0,1479.142,427.01,681.631,317.516,15.113,368.456
Russia,2001,146117290.0,1662886739968.0,1515.647,445.476,693.223,323.3,15.863,375.43
Russia,2002,145939502.0,1781424717824.0,1506.788,424.116,702.703,314.772,17.116,378.316
Russia,2003,145794231.0,1955876044800.0,1537.018,425.963,735.376,308.711,18.666,393.266
Russia,2004,145180094.0,2143914688512.0,1543.957,416.376,743.405,309.318,20.915,395.857
Russia,2005,144597888.0,2331247116288.0,1562.577,417.916,746.183,320.02,22.256,401.463
Russia,2006,144102949.0,2576148332544.0,1623.002,437.859,766.955,335.529,24.545,407.266
Russia,2007,143859769.0,2858759225344.0,1623.781,423.047,779.354,326.463,27.645,414.111
Russia,2008,143811835.0,3078094323712.0,1652.064,451.93,779.724,343.698,23.625,420.304
Russia,2009,143869130.0,2903690444800.0,1545.034,419.075,732.688,323.009,19.746,406.172
Russia,2010,143934468.0,3105249296384.0,1632.783,419.276,794.593,333.87,22.723,427.443
Russia,2011,144043751.0,3306765942784.0,1685.91,430.352,817.72,346.176,25.129,436.187
Russia,2012,144291024.0,3439833120768.0,1701.268,445.326,807.072,353.791,26.332,443.809
Russia,2013,144604102.0,3500216680448.0,1640.437,408.194,782.85,357.04,27.281,446.266
Russia,2014,144925638.0,3525987794944.0,1639.959,397.222,775.338,385.79,26.453,447.485
Russia,2015,145307611.0,3456429719552.0,1638.675,417.405,739.506,408.673,23.171,452.621
Russia,2016,145778669.0,3463124090880.0,1634.885,405.877,753.005,403.595,20.432,462.751
Russia,2017,146186800.0,3526353747968.0,1666.121,389.27,780.664,417.49,20.512,480.488
Russia,2018,146430147.0,3625347448832.0,1712.494,401.062,828.859,395.445,20.091,500.485
Russia,2019,146533063.0,3705035816960.0,1705.031,395.101,807.388,402.824,20.306,520.043
Russia,2020,146371293.0,3606716612608.0,1632.929,367.669,784.291,384.939,20.581,507.25
Russia,2021,145836172.0,3809571241984.0,1711.993,382.146,854.064,376.578,22.158,530.449
Russia,2022,145579890.0,3731440795648.0,1802.19,428.488,887.432,386.742,22.48,523.302
Russia,2023,145440504.0,0.0,1815.925,427.636,897.26,390.757,23.224,533.118
