country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
United Kingdom,1941,48317261.0,575024005120.0,499.796,463.093,0.0,33.116,3.587,129.552
United Kingdom,1942,48515502.0,589318389760.0,492.996,463.36,0.004,25.987,3.645,131.197
United Kingdom,1943,48703433.0,602251395072.0,490.219,449.445,0.0,37.274,3.5,130.098
United Kingdom,1944,48892093.0,578535817216.0,489.67,437.551,0.004,49.826,2.29,129.46
United Kingdom,1945,49081483.0,553149923328.0,453.074,412.929,0.004,38.106,2.035,126.813
United Kingdom,1946,49271606.0,529131962368.0,464.412,427.12,0.0,33.989,3.304,131.104
United Kingdom,1947,49462466.0,521286516736.0,485.232,451.922,0.0,29.814,3.496,136.889
United Kingdom,1948,49654066.0,537800540160.0,503.51,457.751,0.0,41.482,4.278,140.403
United Kingdom,1949,49851583.0,557859471360.0,507.552,463.045,0.0,39.876,4.63,143.274
United Kingdom,1950,50121020.0,554454745088.0,500.792,453.925,0.0,41.968,4.899,144.687
United Kingdom,1951,50346822.0,570992689152.0,545.253,486.055,0.015,54.048,5.135,152.018
United Kingdom,1952,50496231.0,570010304512.0,528.706,469.747,0.018,53.347,5.593,151.159
United Kingdom,1953,50727037.0,592393404416.0,540.211,478.419,0.022,56.136,5.633,154.413
United Kingdom,1954,50958246.0,616540930048.0,553.01,483.959,0.033,63.01,6.007,157.614
United Kingdom,1955,51176749.0,638913806336.0,576.952,499.933,0.026,70.706,6.287,162.179
United Kingdom,1956,51400459.0,646914572288.0,574.324,494.885,0.037,72.991,6.411,163.387
United Kingdom,1957,51655911.0,657223974912.0,570.714,482.582,0.062,82.063,6.007,162.942
United Kingdom,1958,51935639.0,655877079040.0,556.316,458.868,0.117,91.472,5.858,160.991
United Kingdom,1959,52226466.0,682390126592.0,546.606,425.559,0.136,114.592,6.32,157.111
United Kingdom,1960,52538549.0,721686167552.0,584.02,448.052,0.15,129.145,6.673,163.016
United Kingdom,1961,52884952.0,745529212928.0,588.615,442.882,0.15,138.477,7.105,166.16
United Kingdom,1962,53272836.0,753069260800.0,592.932,437.313,0.216,148.359,7.043,165.634
United Kingdom,1963,53652940.0,782013366272.0,603.386,439.307,0.289,156.841,6.949,167.209
United Kingdom,1964,54009131.0,823416717312.0,607.866,426.243,0.513,172.726,8.384,165.922
United Kingdom,1965,54359022.0,844870778880.0,622.112,422.269,1.685,189.773,8.384,167.42
United Kingdom,1966,54676346.0,861009739776.0,618.075,403.344,1.649,204.792,8.29,165.172
United Kingdom,1967,54973659.0,880333291520.0,592.057,368.479,2.777,212.115,8.686,160.448
United Kingdom,1968,55240654.0,916165885952.0,606.488,370.301,6.265,220.842,8.835,161.673
United Kingdom,1969,55456208.0,932854038528.0,628.383,367.944,12.252,238.096,8.61,162.892
United Kingdom,1970,55663801.0,954756366336.0,652.577,352.909,23.105,265.175,8.432,162.787
United Kingdom,1971,55890372.0,975018065920.0,660.388,341.419,37.226,269.542,8.749,162.103
United Kingdom,1972,56079239.0,1009534173184.0,648.026,293.155,52.659,289.348,8.922,151.235
United Kingdom,1973,56188788.0,1077433270272.0,659.577,295.861,56.994,291.911,9.884,158.027
United Kingdom,1974,56224550.0,1062802292736.0,617.184,263.376,68.161,271.425,8.798,150.358
United Kingdom,1975,56220138.0,1061564055552.0,603.247,276.2,71.382,241.395,8.356,154.922
United Kingdom,1976,56201144.0,1085394059264.0,598.526,274.969,74.038,235.797,7.809,151.703
United Kingdom,1977,56175831.0,1108973453312.0,604.362,271.09,79.01,240.24,7.65,148.063
United Kingdom,1978,56175552.0,1148502802432.0,604.714,259.146,81.524,247.568,7.881,147.039
United Kingdom,1979,56218759.0,1180113305600.0,644.513,281.573,89.193,253.264,7.992,149.405
United Kingdom,1980,56282102.0,1160744140800.0,579.035,260.719,88.423,214.531,7.334,149.383
United Kingdom,1981,56304591.0,1145637961728.0,560.555,261.417,89.607,195.249,6.305,148.665
United Kingdom,1982,56292761.0,1163414863872.0,548.24,244.751,93.314,196.245,6.423,147.144
United Kingdom,1983,56332059.0,1204671086592.0,545.485,247.234,97.169,187.284,6.639,145.9
United Kingdom,1984,56451312.0,1234772426752.0,529.108,177.559,99.61,238.803,6.68,118.225
United Kingdom,1985,56606416.0,1278428446720.0,559.627,234.315,107.941,205.725,6.612,134.835
United Kingdom,1986,56751925.0,1334598565888.0,568.554,248.487,108.267,201.314,6.65,143.336
United Kingdom,1987,56886020.0,1398100983808.0,571.668,259.298,107.509,193.727,7.096,140.241
United Kingdom,1988,57026540.0,1467801403392.0,570.294,249.779,105.863,206.463,8.188,138.28
United Kingdom,1989,57182137.0,1499837497344.0,581.576,245.895,104.71,222.613,8.358,134.878
United Kingdom,1990,57367867.0,1505692221440.0,601.945,252.69,113.518,217.8,7.295,139.788
United Kingdom,1991,57555199.0,1488075358208.0,609.413,253.623,121.693,218.39,5.994,143.005
United Kingdom,1992,57719272.0,1491752058880.0,593.846,237.747,122.296,218.447,5.456,138.337
United Kingdom,1993,57861036.0,1527509024768.0,579.613,207.686,137.591,219.163,5.525,134.762
United Kingdom,1994,58003200.0,1585373249536.0,574.017,195.376,145.455,215.736,6.368,129.788
United Kingdom,1995,58154632.0,1623858085888.0,566.159,181.699,154.254,211.595,6.285,133.805
United Kingdom,1996,58298563.0,1663446679552.0,586.761,173.072,177.543,216.892,6.416,133.327
United Kingdom,1997,58447090.0,1713864572928.0,562.708,154.729,182.887,207.743,6.71,131.297
United Kingdom,1998,58626822.0,1766619873280.0,568.544,154.088,191.361,204.934,6.838,123.523
United Kingdom,1999,58838660.0,1823341936640.0,561.65,138.313,205.231,201.663,6.531,116.234
United Kingdom,2000,59057336.0,1889565278208.0,569.034,144.443,210.131,198.238,6.332,110.628
United Kingdom,2001,59288095.0,1939268304896.0,577.971,153.534,210.16,198.651,5.844,107.047
United Kingdom,2002,59540763.0,1983994265600.0,560.273,141.691,207.03,196.13,5.988,102.179
United Kingdom,2003,59820385.0,2050625372160.0,571.619,153.103,208.462,194.397,5.868,97.367
United Kingdom,2004,60169964.0,2099526631424.0,573.43,147.662,211.734,197.952,5.977,92.328
United Kingdom,2005,60596108.0,2161729470464.0,570.338,148.033,205.438,200.448,5.941,85.263
United Kingdom,2006,61051093.0,2212618829824.0,567.846,160.844,194.126,197.183,5.893,78.925
United Kingdom,2007,61535860.0,2267631583232.0,559.566,150.844,196.52,196.16,6.117,73.633
United Kingdom,2008,62027303.0,2252034801664.0,544.932,139.219,202.655,188.8,5.205,68.297
