country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
United States,1941,130865641.0,1815098556416.0,2043.585,1294.762,141.533,588.735,14.52,0.0
United States,1942,132508765.0,2013171023872.0,2198.265,1458.597,153.855,565.693,16.085,0.0
United States,1943,134350677.0,2203245608960.0,2272.059,1470.803,171.952,612.936,12.041,0.0
United States,1944,136218191.0,2361835388928.0,2444.904,1545.85,186.574,700.12,8.032,0.0
United States,1945,138111665.0,2314667819008.0,2359.552,1421.423,197.676,727.377,9.114,0.0
United States,1946,140031458.0,2103900897280.0,2257.494,1298.758,203.103,737.018,14.653,0.0
United States,1947,141977937.0,2070709141504.0,2485.854,1449.231,224.086,791.342,16.647,0.0
United States,1948,143951473.0,2168923357184.0,2582.559,1433.19,251.765,874.345,18.417,0.0
United States,1949,146051521.0,2126235566080.0,2164.862,1063.102,265.068,813.723,18.788,0.0
United States,1950,148281552.0,2320610099200.0,2541.485,1257.232,319.219,896.801,20.125,0.0
United States,1951,150598448.0,2497407877120.0,2618.711,1211.599,376.209,960.662,22.041,0.0
United States,1952,152941728.0,2590801395712.0,2551.219,1074.173,402.787,1000.967,22.256,0.0
United States,1953,155451200.0,2709832597504.0,2612.971,1065.955,423.342,1050.079,23.521,0.0
United States,1954,158205872.0,2691885432832.0,2489.462,913.446,444.0,1063.212,24.131,0.0
United States,1955,161136448.0,2882221637632.0,2728.512,1026.222,479.19,1147.903,26.584,0.0
United States,1956,164063408.0,2938405650432.0,2859.995,1068.358,505.889,1203.787,28.39,0.0
United States,1957,166949120.0,2993553408000.0,2835.772,1024.081,540.645,1193.662,27.006,0.0
United States,1958,170147104.0,2963550502912.0,2747.108,888.344,570.701,1220.046,27.758,0.0
United States,1959,173324608.0,3183156920320.0,2831.923,910.978,593.21,1258.457,30.234,0.0
United States,1960,176188576.0,3262376312832.0,2897.315,917.964,630.025,1281.631,28.798,0.0
United States,1961,179087280.0,3338584195072.0,2886.873,887.443,636.415,1297.316,28.699,0.0
United States,1962,181917808.0,3539745112064.0,2993.902,920.818,676.367,1334.748,29.878,0.0
United States,1963,184649872.0,3692868403200.0,3126.488,987.008,718.455,1359.256,31.435,0.0
United States,1964,187277376.0,3906859958272.0,3264.313,1049.177,759.072,1393.919,33.026,0.0
United States,1965,189703280.0,4156141338624.0,3399.547,1090.619,782.605,1464.691,33.295,0.0
United States,1966,191830976.0,4428300025856.0,3571.421,1132.718,842.207,1529.661,34.573,0.0
United States,1967,193782432.0,4538979319808.0,3705.461,1163.049,881.284,1589.194,33.594,0.0
United States,1968,195743424.0,4754925682688.0,3840.919,1139.603,936.361,1689.423,35.32,0.0
United States,1969,197859328.0,4903769997312.0,4035.145,1158.0,1018.083,1781.627,35.697,0.0
United States,1970,200328336.0,4912635707392.0,4339.686,1168.091,1059.211,2038.082,34.924,0.0
United States,1971,202907920.0,5065682190336.0,4365.465,1107.406,1096.927,2097.305,35.51,0.0
United States,1972,205238384.0,5334296952832.0,4573.015,1124.841,1115.673,2269.174,36.523,0.0
United States,1973,207314768.0,5637202771968.0,4785.103,1220.645,1174.859,2325.412,36.917,0.0
United States,1974,209277968.0,5621366128640.0,4621.1,1199.284,1134.215,2227.518,36.806,0.0
United States,1975,211274544.0,5605794775040.0,4478.275,1195.032,1042.504,2190.401,30.463,0.0
United States,1976,213270032.0,5899591090176.0,4747.817,1281.173,1062.805,2350.634,32.37,0.0
United States,1977,215437408.0,6166912434176.0,4889.666,1315.721,1041.058,2478.369,33.979,0.0
United States,1978,217881440.0,6518624223232.0,4941.423,1314.183,1045.228,2524.703,35.616,0.0
United States,1979,220463104.0,6740172603392.0,5008.642,1427.458,1080.485,2441.955,35.94,0.0
United States,1980,223140016.0,6743208230912.0,4808.556,1453.794,1058.054,2244.48,32.922,0.0
United States,1981,225654000.0,6911865389056.0,4686.42,1502.932,1032.089,2101.662,31.962,0.0
United States,1982,228001424.0,6782206345216.0,4447.298,1449.085,960.901,1994.492,28.441,0.0
