country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
World,1941,2307736768.0,0.0,4970.814,3884.03,153.463,885.994,43.293,0.0
World,1942,2326734579.0,0.0,4959.586,3909.701,166.049,841.426,38.376,0.0
World,1943,2344581440.0,0.0,5041.694,3925.256,182.9,894.442,34.769,0.0
World,1944,2362439908.0,0.0,5117.909,3868.037,197.601,1025.279,22.664,0.0
World,1945,2380167769.0,0.0,4257.136,2998.036,216.751,1015.403,22.986,0.0
World,1946,2397811266.0,0.0,4646.124,3234.05,223.892,1147.915,36.306,0.0
World,1947,2416694412.0,0.0,5145.782,3621.183,247.957,1228.953,43.141,0.0
World,1948,2437259361.0,0.0,5424.953,3739.086,280.191,1349.199,51.635,0.0
World,1949,2463242071.0,0.0,5181.006,3545.799,300.523,1272.314,58.189,0.0
World,1950,2499322112.0,8461551665152.0,5929.342,3855.337,353.244,1575.249,66.9,0.0
World,1951,2543130368.0,0.0,6381.406,4059.089,416.282,1744.893,75.766,0.0
World,1952,2590270976.0,0.0,6467.437,4008.096,447.174,1840.703,80.746,0.0
World,1953,2640278784.0,0.0,6650.861,4042.726,474.615,1956.172,89.546,0.0
World,1954,2691979264.0,0.0,6789.498,4038.464,501.442,2069.125,97.134,0.0
World,1955,2746072064.0,0.0,7443.861,4371.64,547.332,2313.649,107.436,0.0
World,1956,2801002752.0,0.0,7925.98,4595.993,587.346,2510.938,116.488,0.0
World,1957,2857866752.0,0.0,8185.614,4680.659,646.819,2622.477,122.452,0.0
World,1958,2916108032.0,0.0,8417.16,4753.322,706.005,2726.862,129.694,0.0
World,1959,2970292224.0,0.0,8854.662,4947.026,758.416,2903.993,145.245,0.0
World,1960,3019233536.0,13338076512256.0,9386.421,5151.948,834.727,3125.705,157.394,0.0
World,1961,3068370688.0,0.0,9414.383,4939.333,882.206,3313.261,164.145,0.0
World,1962,3126686720.0,0.0,9746.556,4924.526,967.867,3561.588,176.367,0.0
World,1963,3195779328.0,0.0,10266.047,5104.291,1047.008,3806.507,185.984,0.0
World,1964,3267212288.0,0.0,10823.618,5209.606,1153.051,4107.03,206.159,0.0
World,1965,3337112064.0,0.0,11309.689,5285.71,1230.73,4411.812,216.463,0.0
World,1966,3406416896.0,0.0,11861.708,5346.64,1340.036,4761.2,233.046,0.0
World,1967,3475448064.0,0.0,12236.328,5259.163,1433.129,5076.133,239.921,0.0
World,1968,3546810880.0,0.0,12904.336,5317.465,1559.74,5529.309,255.428,0.0
World,1969,3620655360.0,0.0,13760.84,5516.122,1708.681,5979.45,270.844,0.0
World,1970,3695390208.0,21941933047808.0,14898.156,5696.572,1790.857,6800.143,288.489,0.0
World,1971,3770163200.0,0.0,15502.786,5698.278,1933.497,7201.511,303.39,0.0
World,1972,3844800768.0,0.0,16223.439,5689.858,2052.246,7764.815,321.557,0.0
World,1973,3920251392.0,0.0,17083.5,5861.542,2204.103,8223.546,340.519,0.0
World,1974,3995516928.0,0.0,17009.383,5860.022,2259.212,8105.394,340.997,0.0
World,1975,4069437184.0,0.0,17049.979,6034.681,2255.817,8036.563,339.042,0.0
World,1976,4142505728.0,0.0,17985.242,6260.035,2387.155,8538.575,354.048,0.0
World,1977,4215772416.0,0.0,18494.652,6412.418,2441.427,8838.887,370.759,0.0
World,1978,4289657600.0,0.0,19063.955,6521.472,2550.678,9155.992,394.565,0.0
World,1979,4365582848.0,0.0,19603.002,6828.325,2689.379,9272.929,399.756,0.0
World,1980,4444007936.0,31982614478848.0,19482.441,7008.476,2758.48,8948.316,402.517,0.0
World,1981,4524627456.0,0.0,19016.949,6988.982,2794.718,8546.783,402.62,0.0
World,1982,4607984640.0,0.0,18865.373,7111.198,2731.662,8341.168,400.75,0.0
World,1983,4691884032.0,0.0,18985.9,7297.603,2760.984,8256.587,409.611,0.0
World,1984,4775836160.0,0.0,19641.729,7650.65,3010.972,8323.763,417.356,0.0
World,1985,4861730816.0,0.0,20305.131,8201.938,3121.949,8322.069,422.453,0.0
World,1986,4950063104.0,0.0,20607.514,8320.633,3046.15,8571.332,440.079,0.0
World,1987,5040984576.0,0.0,21245.783,8598.466,3307.92,8643.077,458.905,0.0
World,1988,5132294144.0,0.0,22077.385,8892.935,3466.254,8960.305,483.217,0.0
World,1989,5223704064.0,0.0,22378.969,8891.691,3640.358,9116.432,493.095,0.0
World,1990,5316175872.0,43033605177344.0,22752.701,8701.797,3830.345,9245.104,493.627,6936.68
World,1991,5406245888.0,0.0,23229.475,8614.589,3909.326,9708.479,507.475,6972.61
World,1992,5492686336.0,0.0,22567.199,8409.5,3959.732,9211.256,528.555,6932.75
World,1993,5577433600.0,0.0,22798.35,8511.261,4067.149,9218.413,551.282,6958.63
World,1994,5660727808.0,0.0,23034.775,8559.117,4101.934,9254.096,588.426,6996.12
World,1995,5743219712.0,0.0,23524.49,8803.17,4210.042,9338.96,622.288,7080.75
World,1996,5825145344.0,0.0,24250.16,9024.368,4396.57,9621.537,635.111,7097.47
World,1997,5906481152.0,0.0,24395.951,8977.737,4413.479,9767.216,660.845,7328.28
World,1998,5987312640.0,0.0,24330.945,8735.933,4485.611,9893.816,658.349,7204.1
World,1999,6067758592.0,0.0,24833.494,8862.756,4595.318,10135.524,690.512,7150.24
World,2000,6148898816.0,59897668435968.0,25501.287,9207.196,4731.032,10278.069,721.429,7173.64
World,2001,6230747136.0,0.0,25674.93,9259.31,4756.259,10356.23,753.945,7129.96
