Continent,code,year,other,total,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Other
Africa,,1965,,2228.422502,0.4516,0.4776,0.01336,0.0,0.0574,0.0,,
Africa,,1966,,2275.4863899999996,0.4308,0.4938,0.01426,0.0,0.06114,0.0,,
Africa,,1967,,2241.348966,0.4358,0.4871,0.01395,0.0,0.06317,0.0,,
Africa,,1968,,2307.323987,0.4291,0.4876,0.01339,0.0,0.06995,0.0,,
Africa,,1969,,2310.4079020000004,0.4214,0.484,0.01522,0.0,0.07944,0.0,,
Africa,,1970,,2443.656404,0.404,0.4871,0.01741,0.0,0.09149,0.0,,
Africa,,1971,1.3957357,2541.1959157,0.4018,0.4976,0.01931,0.0,0.0807,0.0,0.0,0.0005492
Africa,,1972,1.3683333,2618.0365533,0.3813,0.5068,0.02448,0.0,0.08695,0.0,0.0,0.0005227
Africa,,1973,1.3731216,2761.7998915999997,0.3746,0.5037,0.03624,0.0,0.08492,0.0,0.0,0.0004972
Africa,,1974,1.3757156,2822.0040856000005,0.3714,0.4972,0.03885,0.0,0.09204,0.0,0.0,0.0004875
Africa,,1975,1.3149323,2908.5145623000003,0.3714,0.4921,0.04417,0.0,0.09184,0.0,0.0,0.0004521
Africa,,1976,1.3747544,3070.0849244,0.3648,0.4948,0.04624,0.0,0.09372,0.0,0.0,0.0004478
Africa,,1977,1.3659141,3150.4106841000003,0.3533,0.4996,0.04903,0.0,0.0976,0.0,0.0,0.0004336
Africa,,1978,1.3697037,3179.8033137,0.3306,0.5068,0.06738,0.0,0.09475,0.0,0.0,0.0004308
Africa,,1979,1.3710804,3364.4228404,0.3222,0.4898,0.09454,0.0,0.09309,0.0,0.0,0.0004075
Africa,,1980,1.3722266,3514.0024466,0.3212,0.4835,0.1105,0.0,0.08442,0.0,0.0,0.0003905
Africa,,1981,1.4039998,3831.0836398,0.3348,0.4663,0.1203,0.0,0.07816,0.0,0.0,0.0003665
Africa,,1982,1.4756129,3963.7475229,0.3465,0.4579,0.1219,0.0,0.07336,0.0,0.0,0.0003723
Africa,,1983,1.3975966,3966.5239165999997,0.3423,0.463,0.1302,0.0,0.06421,0.0,0.0,0.0003523
Africa,,1984,1.3828195,3976.9428465,0.3551,0.4571,0.121,0.005184,0.06124,0.0,0.0,0.0003477
Africa,,1985,1.5453945,4023.1852395,0.3521,0.4506,0.1247,0.006746,0.06541,0.0,0.0,0.0003841
Africa,,1986,3.4516714,3990.7015413999998,0.353,0.4315,0.1373,0.01095,0.06629,0.0,0.0,0.0008649
Africa,,1987,3.3552184,4004.2094754,0.3518,0.441,0.1373,0.007431,0.0616,0.0,0.0,0.0008379
Africa,,1988,3.1161609,4169.5310009,0.3532,0.4292,0.1422,0.01181,0.06287,0.0,0.0,0.0007474
Africa,,1989,2.9863503,4063.9639602999996,0.331,0.4427,0.1472,0.01248,0.06592,0.0,0.0,0.0007348
Africa,,1990,3.8493469,4086.7881769,0.3365,0.4356,0.1529,0.009192,0.06492,0.0,0.0,0.0009419
Africa,,1991,3.8437965,3977.0311005,0.3277,0.4383,0.1542,0.00996,0.06884,0.0,0.0,0.0009665
Africa,,1992,3.913338,3935.4904179999994,0.3248,0.4403,0.1593,0.009966,0.0647,0.0,0.0,0.0009944
Africa,,1993,4.257643,3847.788674666,0.3287,0.4436,0.1556,0.007763,0.06321,2.23e-06,0.0,0.001107
Africa,,1994,3.694682,3879.7672975670002,0.3263,0.443,0.1575,0.01004,0.06213,5.825e-06,0.0,0.0009523
Africa,,1995,4.3415704,3937.207257309,0.3235,0.4405,0.1617,0.01124,0.06195,6.532e-06,0.0,0.001103
Africa,,1996,5.2611537,3937.36436718,0.3198,0.4389,0.1656,0.01142,0.06299,7.179e-06,0.0,0.001336
Africa,,1997,5.685241,3923.2898125200004,0.3211,0.4433,0.1589,0.01202,0.0632,7.129e-06,0.0,0.001449
Africa,,1998,6.8680515,3888.703146566,0.309,0.4469,0.1646,0.01273,0.06499,7.41e-06,0.0,0.001766
Africa,,1999,6.6512837,3911.63631668,0.309,0.4495,0.1612,0.01165,0.06687,1.873e-05,0.0,0.0017
Africa,,2000,8.67933,3902.616251438,0.3015,0.4407,0.1742,0.01155,0.06963,0.0001624,1.119e-05,0.002224
Africa,,2001,8.715671,3943.5332765260005,0.2948,0.43,0.1917,0.009128,0.07177,0.0003688,1.351e-05,0.00221
Africa,,2002,8.400662,3895.7918183850006,0.2787,0.4347,0.2,0.01002,0.07403,0.0003862,1.455e-05,0.002156
Africa,,2003,9.206191,3983.42245349,0.2894,0.4273,0.2024,0.01003,0.06814,0.0004419,1.631e-05,0.002311
Africa,,2004,10.164622,4171.15324429,0.2965,0.4165,0.2075,0.009793,0.0666,0.0005866,1.824e-05,0.002437
Africa,,2005,10.079539,4079.6241106700004,0.2745,0.4336,0.2135,0.008197,0.0672,0.0005903,2.139e-05,0.002471
Africa,,2006,12.36614,4053.943476936,0.2732,0.4294,0.2187,0.007095,0.06789,0.0006288,2.678e-05,0.00305
Africa,,2007,9.973628,4102.15414,0.2675,0.4296,0.2248,0.007666,0.06721,0.0007174,3.249e-05,0.002431
Africa,,2008,10.070386,4236.48065163,0.2782,0.4257,0.2204,0.008261,0.0642,0.0008685,4.288e-05,0.002377
Africa,,2009,10.680266,4198.89336342,0.2724,0.4336,0.218,0.007949,0.06441,0.001028,5.572e-05,0.002544
Africa,,2010,10.930417,4220.85740936,0.262,0.4383,0.2203,0.008089,0.06711,0.001424,0.0001271,0.00259
