country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Africa,1941,195943401.0,0.0,54.023,49.442,0.099,3.763,0.72,0.0
Africa,1942,198975492.0,0.0,58.823,54.304,0.106,3.642,0.77,0.0
Africa,1943,202181814.0,0.0,60.12,55.237,0.117,3.957,0.809,0.0
Africa,1944,205448384.0,0.0,66.633,61.371,0.131,4.162,0.969,0.0
Africa,1945,208776384.0,0.0,67.527,62.303,0.136,4.151,0.937,0.0
Africa,1946,212172008.0,0.0,68.159,62.938,0.135,3.942,1.144,0.0
Africa,1947,215621479.0,0.0,67.935,62.415,0.136,4.104,1.281,0.0
Africa,1948,219141050.0,0.0,71.733,64.359,0.139,5.811,1.424,0.0
Africa,1949,223001287.0,0.0,77.324,68.58,0.14,7.072,1.532,0.0
Africa,1950,227549730.0,0.0,94.868,68.983,0.004,23.867,2.014,0.0
Africa,1951,232484439.0,0.0,101.125,72.749,0.004,26.104,2.269,0.0
Africa,1952,237586485.0,0.0,110.325,79.383,0.007,28.608,2.327,0.0
Africa,1953,242837870.0,0.0,112.007,79.053,0.015,30.302,2.637,0.0
Africa,1954,248245229.0,0.0,117.536,81.77,0.022,32.704,3.041,0.0
Africa,1955,253848117.0,0.0,129.402,91.675,0.022,34.297,3.409,0.0
Africa,1956,259631766.0,0.0,135.106,95.594,0.029,35.966,3.517,0.0
Africa,1957,265515596.0,0.0,141.593,99.299,0.022,38.591,3.681,0.0
Africa,1958,271429963.0,0.0,148.671,103.144,0.018,41.52,3.989,0.0
Africa,1959,277648583.0,0.0,147.841,101.676,0.035,41.942,4.189,0.0
Africa,1960,284288223.0,0.0,156.567,103.522,0.047,48.598,4.399,0.0
Africa,1961,291177974.0,0.0,161.994,105.003,0.498,52.193,4.3,0.0
Africa,1962,298334455.0,0.0,166.335,106.668,0.74,54.466,4.461,0.0
Africa,1963,305755585.0,0.0,176.335,109.186,0.718,60.485,4.798,0.0
Africa,1964,313466087.0,0.0,193.639,115.604,1.451,69.389,5.318,0.0
Africa,1965,321447378.0,0.0,213.634,124.891,2.123,75.982,5.691,0.0
Africa,1966,329658389.0,0.0,221.082,123.843,2.36,83.845,5.841,0.0
Africa,1967,338159967.0,0.0,237.045,127.101,2.319,80.898,5.964,0.0
Africa,1968,346980412.0,0.0,257.384,132.504,2.364,85.991,6.857,0.0
Africa,1969,356070643.0,0.0,277.916,135.191,2.89,93.614,7.895,0.0
Africa,1970,365450443.0,0.0,302.624,140.097,0.816,98.18,8.596,0.0
Africa,1971,375086296.0,0.0,331.861,149.906,1.693,115.056,9.231,0.0
Africa,1972,384930776.0,0.0,351.871,153.924,4.414,119.141,9.742,0.0
Africa,1973,395212420.0,0.0,378.003,154.291,5.36,128.051,10.295,0.0
Africa,1974,406069208.0,0.0,388.39,157.241,5.111,133.922,10.753,0.0
Africa,1975,417556976.0,0.0,387.265,162.187,6.422,143.499,10.848,0.0
