country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
World,2022,8021407170.0,130112561348608.0,37293.836,15185.965,7892.689,11909.615,1601.124,10529.812
China,2022,1425179562.0,26966017179648.0,11350.538,8168.899,760.059,1489.342,756.02,1864.384
United States,2022,341534041.0,19493170446336.0,5078.871,942.357,1748.499,2258.467,41.418,695.298
India,2022,1425423212.0,10476248367104.0,2831.166,1855.854,124.009,684.057,164.323,933.884
Russia,2022,145579890.0,3731440795648.0,1802.19,428.488,887.432,386.742,22.48,523.302
Japan,2022,124997586.0,4774494732288.0,1032.687,417.193,199.73,384.784,23.157,30.554
Iran,2022,89524247.0,1572209033216.0,800.747,5.348,496.507,231.813,34.704,214.788
Germany,2022,84086228.0,3909612732416.0,671.472,240.64,160.776,247.44,12.538,63.261
Brazil,2022,210306411.0,3187413090304.0,483.841,56.078,60.085,319.935,23.845,601.386
United Kingdom,2022,68179315.0,2615230595072.0,313.835,19.666,134.872,149.52,4.073,48.961
France,2022,66277412.0,2671568748544.0,293.502,25.994,76.353,179.441,6.397,70.111
