country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
China,1941,514134316.0,0.0,113.979,111.449,0.0,2.034,0.496,0.0
China,1942,516914309.0,0.0,127.613,124.452,0.0,2.506,0.655,0.0
China,1943,519643036.0,0.0,108.995,107.402,0.0,0.953,0.64,0.0
China,1944,522386167.0,0.0,103.004,101.898,0.0,0.616,0.49,0.0
China,1945,525143778.0,0.0,55.892,55.335,0.0,0.539,0.018,0.0
China,1946,527915947.0,0.0,36.107,35.805,0.0,0.216,0.086,0.0
China,1947,530702750.0,0.0,41.836,41.501,0.0,0.161,0.174,0.0
China,1948,533504263.0,0.0,38.4,38.094,0.0,0.224,0.083,0.0
China,1949,537916245.0,0.0,62.081,61.444,0.0,0.363,0.275,0.0
China,1950,543979200.0,436905181184.0,78.835,77.615,0.015,0.619,0.587,0.0
China,1951,553614016.0,529605984256.0,102.115,100.133,0.007,0.938,1.036,0.0
China,1952,564954496.0,595648774144.0,127.999,125.444,0.015,1.337,1.203,0.0
China,1953,577378688.0,672668254208.0,133.783,130.237,0.022,1.909,1.615,0.0
China,1954,589936000.0,624480223232.0,160.877,155.592,0.029,3.341,1.915,0.0
China,1955,603320128.0,681084911616.0,190.521,183.196,0.033,5.419,1.873,0.0
China,1956,616283008.0,738921938944.0,215.824,205.023,0.048,8.094,2.66,0.0
China,1957,630003008.0,761702580224.0,255.785,243.81,0.132,8.988,2.855,0.0
China,1958,643791552.0,766244683776.0,524.617,508.175,0.213,12.359,3.871,0.0
China,1959,652179200.0,743927578624.0,720.152,695.438,0.557,19.049,5.107,0.0
China,1960,654170688.0,705092976640.0,798.8,748.376,1.993,22.992,6.514,0.0
China,1961,655260352.0,577128431616.0,570.63,522.475,2.818,22.336,2.585,0.0
China,1962,664614656.0,616502984704.0,459.618,411.925,2.323,21.764,2.497,0.0
China,1963,683903552.0,705534361600.0,456.779,406.129,1.957,23.27,3.355,0.0
China,1964,704593792.0,804504993792.0,460.637,401.574,2.03,27.729,5.032,0.0
China,1965,723846336.0,896126812160.0,500.286,432.993,2.11,34.999,6.801,0.0
China,1966,742948544.0,927339380736.0,549.459,469.765,2.568,44.547,8.387,0.0
China,1967,761006272.0,933378392064.0,460.226,383.599,2.799,42.499,6.085,0.0
China,1968,780371968.0,912372793344.0,495.507,412.72,2.686,48.651,5.253,0.0
China,1969,801430976.0,1006175649792.0,607.683,501.177,3.759,66.85,7.613,0.0
China,1970,822534464.0,1144004411392.0,807.953,665.866,5.503,94.645,10.718,0.0
China,1971,843285440.0,1216237928448.0,909.21,736.424,7.174,120.091,13.124,0.0
China,1972,862840384.0,1233564991488.0,968.646,770.722,9.281,138.328,14.717,0.0
China,1973,881652096.0,1334375219200.0,1008.293,783.741,11.468,158.819,15.456,0.0
China,1974,899367680.0,1367631724544.0,1028.1,776.101,14.44,182.573,15.34,0.0
China,1975,915124672.0,1460733607936.0,1183.215,906.638,16.972,204.191,19.102,0.0
China,1976,929375936.0,1413710479360.0,1226.421,910.39,19.368,238.985,19.253,0.0
China,1977,942581312.0,1493489287168.0,1340.831,998.609,23.237,257.484,22.906,0.0
China,1978,955138944.0,1667551723520.0,1492.778,1117.447,26.286,281.992,26.81,0.0
China,1979,968298944.0,1801380298752.0,1525.661,1147.547,27.777,278.427,30.32,0.0
China,1980,982372480.0,1893783568384.0,1494.496,1122.664,27.319,273.202,32.712,0.0
China,1981,997259520.0,1949955260416.0,1476.488,1125.005,24.388,256.374,33.903,0.0
China,1982,1013483200.0,2128598007808.0,1606.585,1248.856,22.9,257.81,38.87,0.0
China,1983,1029226880.0,2278862356480.0,1694.217,1321.843,23.439,263.771,44.126,0.0
China,1984,1044172224.0,2534000295936.0,1844.828,1454.198,24.226,271.451,50.066,0.0
China,1985,1060240000.0,2752673742848.0,1998.083,1584.511,24.82,284.594,59.301,0.0
China,1986,1077770496.0,2931539050496.0,2104.213,1657.391,26.352,303.068,67.362,0.0
China,1987,1096851840.0,3177306390528.0,2257.739,1770.269,26.601,321.523,75.429,0.0
China,1988,1115889792.0,3354463305728.0,2425.894,1892.698,27.311,343.13,84.961,0.0
China,1989,1134414720.0,3380560265216.0,2463.654,1920.239,28.821,354.441,84.886,0.0
China,1990,1153704192.0,3385121832960.0,2484.855,1976.684,29.301,330.291,84.513,764.18
China,1991,1170626176.0,3508947910656.0,2606.096,2049.92,30.778,356.027,101.305,773.83
China,1992,1183813376.0,3755037425664.0,2730.788,2114.715,30.239,385.793,122.445,779.55
China,1993,1195855616.0,4126169366528.0,2921.651,2228.745,35.728,428.549,142.774,788.86
China,1994,1207286656.0,4438753280000.0,3103.739,2380.586,41.568,423.712,164.377,811.27
China,1995,1218144384.0,4810000039936.0,3361.637,2569.754,42.436,468.23,184.637,848.71
China,1996,1228298880.0,5127589593088.0,3508.818,2660.401,44.47,510.622,192.853,857.26
China,1997,1237801472.0,5291339415552.0,3515.594,2609.556,44.159,557.961,202.874,812.25
China,1998,1246836096.0,5338703069184.0,3364.587,2444.771,50.501,559.262,211.369,814.34
China,1999,1255433216.0,5578502963200.0,3557.275,2580.992,54.572,596.751,228.322,808.7
China,2000,1264099072.0,5952682590208.0,3649.201,2601.737,59.796,648.686,244.388,808.41
China,2001,1272739584.0,6329737412608.0,3728.513,2637.655,67.157,659.3,270.828,800.87
China,2002,1280926080.0,6814493573120.0,4103.042,3018.634,53.993,653.086,282.688,793.65
China,2003,1288873344.0,7248623435776.0,4841.119,3601.712,60.745,727.099,353.679,818.95
China,2004,1296816768.0,7830953263104.0,5217.351,3835.288,71.521,839.093,368.396,865.02
China,2005,1304887552.0,8602939555840.0,5882.143,4424.39,84.957,850.173,411.649,902.04
China,2006,1313086592.0,9489543593984.0,6494.338,4905.374,103.753,898.534,470.087,940.51
China,2007,1321513216.0,10358205972480.0,6983.577,5289.904,129.515,927.351,514.981,970.03
China,2008,1330167168.0,10799147909120.0,7501.498,5729.474,149.674,970.117,525.924,988.56
China,2009,1339125632.0,11572544012288.0,7891.089,6028.5,164.404,982.348,583.56,1017.72
China,2010,1348191360.0,12858808074240.0,8620.627,6568.793,199.585,1092.572,639.592,1066.02
China,2011,1357095424.0,13691527364608.0,9532.409,7309.786,245.99,1123.859,708.564,1112.8
China,2012,1366560768.0,14773157625856.0,9779.354,7464.806,277.599,1176.712,714.782,1113.26
China,2013,1376100352.0,15925464006656.0,9956.376,7493.454,320.127,1234.622,748.323,1136.23
China,2014,1385189632.0,17103948087296.0,9998.674,7425.067,370.222,1255.605,778.627,1149.47
China,2015,1393715456.0,18301224747008.0,9866.951,7266.979,380.052,1328.805,721.995,1147.67
China,2016,1401889664.0,19545710395392.0,9765.029,7071.404,421.726,1357.838,743.044,1107.28
China,2017,1410275968.0,20894363680768.0,10011.151,7163.318,486.359,1430.587,758.185,1116.91
China,2018,1417069440.0,22294286041088.0,10353.935,7316.4,575.369,1500.474,786.745,1147.49
China,2019,1421864064.0,23631939764224.0,10721.042,7523.17,630.171,1559.728,826.876,1163.53
China,2020,1424929792.0,24151844716544.0,10914.012,7679.546,676.473,1523.052,858.233,1186.57
China,2021,1425893504.0,26180600201216.0,11336.233,7979.436,764.102,1564.37,851.974,0.0
China,2022,1425887360.0,26966017179648.0,11396.777,8250.736,755.172,1451.287,763.365,0.0
