country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
India,1941,374175756.0,431261712384.0,53.581,51.31,0.0,1.187,1.084,0.0
India,1942,372999886.0,428796608512.0,53.53,51.254,0.0,1.143,1.133,0.0
India,1943,370228201.0,446201692160.0,46.644,44.428,0.0,1.121,1.095,0.0
India,1944,367477113.0,441698385920.0,47.696,45.499,0.0,1.14,1.058,0.0
India,1945,364746467.0,434203197440.0,52.874,50.793,0.0,0.971,1.11,0.0
India,1946,362036112.0,411463188480.0,52.225,50.322,0.0,0.898,1.005,0.0
India,1947,359345897.0,340810006528.0,53.18,51.668,0.0,0.762,0.75,0.0
India,1948,356675672.0,344050008064.0,53.204,51.628,0.0,0.769,0.806,0.0
India,1949,355893489.0,353225015296.0,56.188,54.323,0.0,0.777,1.088,0.0
India,1950,357021120.0,354332999680.0,61.103,52.56,0.0,7.189,1.354,0.0
India,1951,364922368.0,362445012992.0,64.022,54.512,0.0,7.852,1.658,0.0
India,1952,372997184.0,373116010496.0,67.426,58.03,0.0,7.562,1.834,0.0
India,1953,381227712.0,396813008896.0,68.705,59.067,0.0,7.68,1.958,0.0
India,1954,389731392.0,413406003200.0,72.414,60.592,0.0,9.541,2.281,0.0
India,1955,398577984.0,423653998592.0,78.788,63.711,0.0,12.751,2.326,0.0
India,1956,407656608.0,447916998656.0,81.656,65.157,0.0,13.945,2.554,0.0
India,1957,416935392.0,443355987968.0,91.635,72.838,0.0,15.894,2.903,0.0
India,1958,426295776.0,476938010624.0,95.816,75.819,0.0,16.843,3.154,0.0
India,1959,435900352.0,486917996544.0,101.447,79.523,0.0,18.387,3.537,0.0
India,1960,445954560.0,520800010240.0,111.325,87.878,0.0,19.445,4.002,0.0
India,1961,456351872.0,536351997952.0,120.404,94.885,0.004,21.31,4.205,0.0
India,1962,467024192.0,548431986688.0,132.582,103.26,0.011,24.885,4.381,0.0
India,1963,477933632.0,576287997952.0,142.444,110.42,0.011,27.106,4.771,0.0
India,1964,489059296.0,620466012160.0,139.488,105.924,0.022,28.122,4.944,0.0
India,1965,500114336.0,596064993280.0,153.702,116.456,0.282,30.815,5.398,0.0
India,1966,510992608.0,601424986112.0,159.373,116.984,0.311,35.676,5.57,0.0
India,1967,521987072.0,650715987968.0,159.556,119.096,0.487,32.698,5.821,0.0
India,1968,533431904.0,668219998208.0,174.069,123.826,0.751,42.25,5.872,0.0
India,1969,545314688.0,712563032064.0,177.413,123.368,0.997,45.35,6.438,0.0
India,1970,557501312.0,748744015872.0,181.723,123.551,0.923,49.332,6.495,0.0
India,1971,569999168.0,755656032256.0,191.964,126.966,1.085,55.443,7.052,0.0
India,1972,582837952.0,753543020544.0,203.036,134.377,1.205,58.878,7.363,0.0
India,1973,596107456.0,788800012288.0,209.095,137.809,1.169,61.749,6.921,0.0
India,1974,609721920.0,796992012288.0,215.853,145.639,1.359,60.628,6.501,0.0
India,1975,623524224.0,868009967616.0,234.209,161.338,1.733,61.838,7.288,0.0
India,1976,637451456.0,878540029952.0,244.749,168.92,2.294,63.438,8.279,0.0
India,1977,651685632.0,947196002304.0,258.962,177.51,2.481,68.557,8.322,0.0
India,1978,666267776.0,997920014336.0,263.15,174.689,2.741,75.317,8.421,0.0
India,1979,681248384.0,947528007680.0,276.285,180.622,3.03,82.664,7.752,0.0
India,1980,696828352.0,1015104995328.0,291.711,197.337,2.488,83.176,7.545,0.0
India,1981,712869312.0,1077444018176.0,314.966,210.305,2.884,89.713,8.888,0.0
India,1982,729169472.0,1111560028160.0,325.38,213.123,4.36,94.407,9.676,0.0
India,1983,745826560.0,1202349015040.0,352.199,232.519,5.243,99.17,10.951,0.0
India,1984,762895168.0,1248909983744.0,361.559,231.493,6.17,106.105,12.593,0.0
India,1985,780242112.0,1298600034304.0,397.592,253.289,7.2,116.76,14.39,0.0
India,1986,797878976.0,1353105014784.0,426.309,273.171,10.31,121.857,16.006,0.0
India,1987,815716160.0,1412883939328.0,455.343,291.856,12.776,127.671,16.412,0.0
India,1988,833729664.0,1560089985024.0,491.692,317.172,15.206,133.615,18.229,0.0
India,1989,852012672.0,1663727960064.0,540.651,339.625,18.518,150.714,20.791,0.0
India,1990,870452160.0,1750992945152.0,577.996,366.514,21.097,158.167,22.348,530.35
India,1991,888941760.0,1768493547520.0,615.365,393.043,23.563,166.423,24.503,536.65
India,1992,907574080.0,1851711422464.0,655.447,411.414,27.256,188.055,25.156,538.0
