country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
United States,1941,130865641.0,1815098556416.0,2043.585,1294.762,141.533,588.735,14.52,408.544
United States,1942,132508765.0,2013171023872.0,2198.265,1458.597,153.855,565.693,16.085,431.385
United States,1943,134350677.0,2203245608960.0,2272.059,1470.803,171.952,612.936,12.041,444.818
United States,1944,136218191.0,2361835388928.0,2444.904,1545.85,186.574,700.12,8.032,468.425
United States,1945,138111665.0,2314667819008.0,2359.552,1421.423,197.676,727.377,9.114,465.466
United States,1946,140031458.0,2103900897280.0,2257.494,1298.758,203.103,737.018,14.653,460.898
United States,1947,141977937.0,2070709141504.0,2485.854,1449.231,224.086,791.342,16.647,490.991
United States,1948,143951473.0,2168923357184.0,2582.559,1433.19,251.765,874.345,18.417,506.825
United States,1949,146051521.0,2126235566080.0,2164.862,1063.102,265.068,813.723,18.788,472.808
United States,1950,154202683.0,2320610099200.0,2541.485,1257.232,319.219,896.801,20.125,513.103
United States,1951,156481322.0,2497407877120.0,2618.711,1211.599,376.209,960.662,22.041,526.657
United States,1952,158794225.0,2590801395712.0,2551.219,1074.173,402.787,1000.967,22.256,526.856
United States,1953,161168319.0,2709832597504.0,2612.971,1065.955,423.342,1050.079,23.521,540.912
United States,1954,163636304.0,2691885432832.0,2489.462,913.446,444.0,1063.212,24.131,538.559
United States,1955,166200030.0,2882221637632.0,2728.512,1026.222,479.19,1147.903,26.584,571.521
United States,1956,168824963.0,2938405650432.0,2859.995,1068.358,505.889,1203.787,28.39,594.194
United States,1957,171499235.0,2993553408000.0,2835.772,1024.081,540.645,1193.662,27.006,602.888
United States,1958,174215305.0,2963550502912.0,2747.108,888.344,570.701,1220.046,27.758,607.076
United States,1959,177145772.0,3183156920320.0,2831.923,910.978,593.21,1258.457,30.234,626.651
United States,1960,180274554.0,3262376312832.0,2897.315,917.964,630.025,1281.631,28.798,645.465
United States,1961,183489491.0,3338584195072.0,2886.873,887.443,636.415,1297.316,28.699,653.408
United States,1962,186724277.0,3539745112064.0,2993.902,920.818,676.367,1334.748,29.878,677.772
United States,1963,189825228.0,3692868403200.0,3126.488,987.008,718.455,1359.256,31.435,703.524
United States,1964,192819456.0,3906859958272.0,3264.313,1049.177,759.072,1393.919,33.026,727.841
United States,1965,195653775.0,4156141338624.0,3399.547,1090.619,782.605,1464.691,33.295,747.568
United States,1966,198265397.0,4428300025856.0,3571.421,1132.718,842.207,1529.661,34.573,769.073
United States,1967,200699913.0,4538979319808.0,3705.461,1163.049,881.284,1589.194,33.594,791.204
