country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
World,1941,0.0,0.0,4999.093,3885.896,153.463,912.407,43.293,3125.017
World,1942,0.0,0.0,4982.524,3910.548,166.049,863.516,38.376,3161.399
World,1943,0.0,0.0,5075.273,3926.667,182.9,926.609,34.769,3225.13
World,1944,0.0,0.0,5162.486,3869.074,197.601,1068.82,22.664,3271.15
World,1945,0.0,0.0,4289.312,2999.808,216.698,1045.86,22.986,3239.49
World,1946,0.0,0.0,4608.547,3235.935,223.835,1108.51,36.306,3339.43
World,1947,0.0,0.0,5165.206,3623.063,247.89,1246.564,43.141,3455.758
World,1948,0.0,0.0,5447.885,3740.633,280.124,1370.651,51.635,3511.886
World,1949,0.0,0.0,5204.035,3547.168,300.456,1294.042,58.189,3560.849
World,1950,2493092843.0,8461551665152.0,5930.244,3881.695,353.151,1549.885,66.9,3655.065
World,1951,2536927039.0,0.0,6381.429,4085.879,416.182,1718.226,75.766,3780.555
World,1952,2584086332.0,0.0,6467.46,4031.568,447.081,1817.347,80.746,3867.958
World,1953,2634106246.0,0.0,6650.885,4062.39,474.524,1936.623,89.546,3967.484
World,1954,2685894869.0,0.0,6789.529,4054.793,501.35,2052.92,97.134,4078.969
World,1955,2740213784.0,0.0,7443.896,4387.063,547.23,2298.363,107.436,4283.306
World,1956,2795409978.0,0.0,7926.013,4608.936,587.231,2498.143,116.488,4426.874
World,1957,2852618346.0,0.0,8185.645,4692.079,646.67,2611.238,122.452,4568.36
World,1958,2911249658.0,0.0,8417.188,4761.802,705.831,2718.585,129.694,4672.241
World,1959,2965950358.0,0.0,8854.689,4954.151,758.234,2897.077,145.245,4885.426
World,1960,3015470890.0,13338076512256.0,9387.011,5157.615,834.559,3120.795,157.394,5034.494
World,1961,3064869656.0,0.0,9415.042,4943.317,882.05,3310.092,164.145,5090.18
World,1962,3123374299.0,0.0,9747.287,4927.626,967.733,3559.353,176.367,5181.653
World,1963,3192807820.0,0.0,10266.772,5107.101,1046.872,3804.558,185.984,5321.518
World,1964,3264487340.0,0.0,10824.466,5212.51,1152.918,4105.11,206.155,5439.636
World,1965,3334533717.0,0.0,11310.601,5288.551,1230.599,4410.039,216.437,5596.354
World,1966,3404041107.0,0.0,11862.646,5349.521,1339.91,4759.411,233.017,5813.707
World,1967,3473412894.0,0.0,12237.369,5261.415,1433.029,5075.051,239.892,5897.157
World,1968,3545187239.0,0.0,12905.283,5319.157,1559.666,5528.78,255.286,6004.143
World,1969,3619491592.0,0.0,13761.785,5517.706,1708.626,5979.095,270.616,6201.988
World,1970,3694683801.0,21941933047808.0,14899.124,5698.193,1790.807,6799.776,288.253,6374.541
World,1971,3769847834.0,0.0,15503.854,5699.531,1933.47,7201.625,303.11,6394.896
World,1972,3844917687.0,0.0,16224.597,5690.899,2052.238,7765.145,321.341,6529.756
World,1973,3920805030.0,0.0,17085.094,5862.566,2204.517,8223.925,340.285,6695.322
World,1974,3996416108.0,0.0,17011.072,5860.91,2259.645,8106.0,340.749,6726.428
