Country,Pct_Renewable,Renewable GWh,Hydro,Wind,Solar,Biofuel,Geoth
World,8971.0,4240.0,2310.0,1644.0,689.0,88.0,2023
China,2894.0,1226.0,886.0,584.0,198.0,0.0,2023
Brazil,631.0,429.0,96.0,51.0,56.0,0.0,2023
Canada,421.0,364.0,39.0,8.0,10.0,0.0,2023
United States,965.0,239.0,421.0,239.0,47.0,18.0,2023
Russia,209.0,201.0,5.0,3.0,0.8,0.0,2023
India,382.0,149.0,82.0,113.0,37.0,0.0,2023
Norway,151.0,136.0,15.0,0.0,0.2,0.02,2023
Vietnam,119.0,81.0,11.0,26.0,0.8,0.0,2023
Japan,224.0,74.0,10.0,97.0,42.0,0.0,2023
Sweden,115.0,66.0,34.0,3.0,12.0,0.0,2023
Venezuela,65.0,65.0,0.02,0.01,0.0,0.0,2023
Turkey,134.0,64.0,34.0,18.0,8.0,10.0,2023
France,138.0,57.0,49.0,22.0,10.0,0.6,2023
Colombia,60.0,56.0,0.06,1.0,2.0,0.0,2023
Paraguay,44.0,44.0,0.0,0.0,0.2,0.0,2023
Austria,60.0,41.0,8.0,6.0,5.0,0.0,2023
Italy,116.0,41.0,24.0,31.0,16.0,6.0,2023
Laos,40.0,40.0,0.0,0.08,0.04,0.0,2023
Switzerland,43.0,39.0,0.2,4.0,0.0,0.0,2023
Pakistan,44.0,34.0,6.0,1.0,2.0,0.0,2023
Malaysia,36.0,32.0,0.0,3.0,1.0,0.0,2023
Peru,33.0,30.0,2.0,0.8,0.6,0.0,2023
Argentina,50.0,30.0,14.0,3.0,2.0,0.0,2023
New Zealand,38.0,26.0,4.0,0.4,0.7,8.0,2023
Chile,57.0,26.0,10.0,17.0,4.0,0.4,2023
Ecuador,26.0,26.0,0.06,0.04,0.4,0.0,2023
Indonesia,65.0,25.0,0.5,0.7,22.0,17.0,2023
Spain,144.0,25.0,64.0,49.0,6.0,0.01,2023
Iran,25.0,23.0,1.0,0.8,0.03,0.0,2023
Mexico,76.0,20.0,22.0,27.0,7.0,0.0,2023
Tajikistan,20.0,20.0,0.0,0.0,0.0,0.0,2023
Germany,265.0,20.0,137.0,61.0,46.0,0.2,2023
Ethiopia,18.0,18.0,0.6,0.04,0.01,0.03,2023
Romania,28.0,18.0,8.0,2.0,0.4,0.0,2023
Zambia,17.0,17.0,0.0,0.1,0.08,0.0,2023
North Korea,17.0,17.0,0.0,0.1,0.0,0.0,2023
Mozambique,16.0,16.0,0.0,0.07,0.1,0.0,2023
Australia,95.0,15.0,32.0,45.0,3.0,0.0,2023
Finland,42.0,15.0,14.0,0.7,11.0,0.0,2023
Egypt,25.0,14.0,6.0,5.0,0.0,0.0,2023
DR Congo,16.0,14.0,0.0,2.0,0.03,0.0,2023
Iceland,20.0,14.0,0.01,0.0,0.0,6.0,2023
