Continent,code,year,other,total,Coal,Oil,Gas,Nuclear,Hydro,Wind,Solar,Other
World,OWID_WRL,1965,16.76572,12990.974606999998,0.3732,0.4155,0.1454,0.001672,0.06297,0.0,0.0,0.001291
World,OWID_WRL,1966,18.123913,13422.966636,0.3578,0.4249,0.1502,0.002137,0.06362,0.0,0.0,0.00135
World,OWID_WRL,1967,17.941105,13639.127592,0.3396,0.4384,0.1556,0.002455,0.06274,0.0,0.0,0.001315
World,OWID_WRL,1968,19.463095,14164.269100000001,0.3251,0.4481,0.1601,0.002943,0.06235,0.0,0.0,0.001374
World,OWID_WRL,1969,20.040216,14829.209796,0.3138,0.4553,0.1645,0.003265,0.06178,0.0,0.0,0.001351
World,OWID_WRL,1970,21.740046,15465.781756,0.299,0.4667,0.1682,0.003916,0.06078,0.0,0.0,0.001406
World,OWID_WRL,1971,23.165857,15761.931647000001,0.2858,0.4732,0.1732,0.005238,0.06107,0.0,0.0,0.00147
World,OWID_WRL,1972,24.293072,16303.874322000001,0.2739,0.4839,0.1733,0.006888,0.0606,0.0,0.0,0.00149
World,OWID_WRL,1973,25.571398,16916.096178000003,0.2667,0.4934,0.1716,0.008725,0.0581,0.0,0.0,0.001512
World,OWID_WRL,1974,26.748219,16687.810759,0.2654,0.4833,0.1749,0.01135,0.06347,0.0,0.0,0.001603
World,OWID_WRL,1975,26.575468,16498.460168,0.2688,0.4765,0.1737,0.01563,0.06381,0.0,0.0,0.001611
World,OWID_WRL,1976,29.105827,17074.085327,0.2644,0.4816,0.1747,0.01736,0.06033,0.0,0.0,0.001705
World,OWID_WRL,1977,30.18821,17383.11303,0.2629,0.4802,0.1741,0.02085,0.06019,0.0,0.0,0.001737
World,OWID_WRL,1978,31.477297,17751.969204990597,0.2556,0.482,0.1746,0.02332,0.06269,1.165e-07,0.0,0.001773
World,OWID_WRL,1979,33.103374,18021.621268049003,0.2589,0.4726,0.1794,0.02347,0.06371,2.255e-07,0.0,0.001837
World,OWID_WRL,1980,34.605827,17545.076273561,0.2678,0.4561,0.1826,0.02591,0.06567,3.982e-07,0.0,0.001972
World,OWID_WRL,1981,36.446667,17157.387889075,0.2725,0.4418,0.1854,0.03073,0.06738,3.999e-07,0.0,0.002124
World,OWID_WRL,1982,41.50033,16762.345801601998,0.277,0.4307,0.1873,0.03351,0.06894,7.082e-07,0.0,0.002476
World,OWID_WRL,1983,45.13551,16742.1938192565,0.2807,0.4214,0.1872,0.03734,0.07069,1.235e-06,1.129e-07,0.002696
World,OWID_WRL,1984,49.48257,17184.9345882446,0.2803,0.4097,0.1938,0.04337,0.06995,1.612e-06,2.274e-07,0.002879
World,OWID_WRL,1985,50.01867,17332.5332748494,0.2848,0.3998,0.193,0.05014,0.06945,2.254e-06,4.122e-07,0.002886
World,OWID_WRL,1986,53.27168,17398.570783094,0.2817,0.4031,0.1907,0.05254,0.06888,4.767e-06,5.213e-07,0.003062
World,OWID_WRL,1987,56.033188,17703.080313608698,0.2827,0.3979,0.1937,0.05516,0.06737,6.474e-06,3.513e-07,0.003165
World,OWID_WRL,1988,56.677044,18035.5940593273,0.2807,0.3957,0.1954,0.05798,0.06703,1.059e-05,3.257e-07,0.003143
World,OWID_WRL,1989,61.713444,18062.282443770004,0.278,0.3944,0.2002,0.05849,0.06542,8.304e-05,8.218e-06,0.003417
World,OWID_WRL,1990,67.94616,17952.41414029,0.2715,0.3941,0.2041,0.05948,0.06688,0.0001125,1.203e-05,0.003785
World,OWID_WRL,1991,69.70481,17793.9056288,0.2668,0.3918,0.2076,0.06183,0.06789,0.0001256,1.553e-05,0.003917
World,OWID_WRL,1992,73.70038,17617.4719275,0.2642,0.3947,0.2073,0.06194,0.06748,0.0001446,1.426e-05,0.004183
World,OWID_WRL,1993,74.99278,17488.31279406,0.2634,0.3898,0.2078,0.06356,0.07098,0.0001729,1.688e-05,0.004288
World,OWID_WRL,1994,76.788956,17448.88159665,0.2611,0.3933,0.2064,0.06395,0.07053,0.0002135,1.787e-05,0.004401
